Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY SMLCAP 50","5,405.90","5,413.75","5,364.50","5,373.80","7.95","0.15","736.64","1,702.71","5,460.20","2,750.45","91.82","9.34"
"JBCHEPHARM","1,765.30","1,848.15","1,745.15","1,835.75","89.05","5.10","3.67","66.47","1,937.70","873.20","98.87","9.96"
"CHAMBLFERT","308.10","324.50","308.00","321.55","14.85","4.84","11.77","37.45","348.90","145.50","116.75","-3.55"
"DBL","602.00","602.00","571.20","574.50","20.45","3.69","19.53","113.69","719.90","321.05","65.40","14.24"
"AFFLE","5,198.40","5,360.00","5,157.00","5,331.90","158.20","3.06","1.09","57.36","6,285.65","2,502.20","80.55","-0.76"
"CYIENT","1,071.60","1,113.40","1,068.00","1,093.45","29.45","2.77","4.84","53.14","1,148.00","365.00","181.85","15.03"
"MCX","1,630.00","1,692.70","1,617.80","1,672.10","42.55","2.61","11.88","197.73","1,875.00","1,432.30","4.77","14.32"
"KAJARIACER","1,188.00","1,200.90","1,174.00","1,196.95","29.95","2.57","1.79","21.33","1,228.90","490.10","130.65","9.97"
"BSOFT","446.25","457.80","444.10","447.60","7.70","1.75","24.00","107.96","457.80","172.20","130.78","8.43"
"VIPIND","495.00","509.80","494.25","503.45","7.50","1.51","4.54","22.84","517.45","270.00","72.74","9.29"
"SUNTECK","496.00","507.00","486.00","497.95","7.35","1.50","14.79","73.49","507.00","244.35","92.33","41.16"
"STLTECH","285.00","288.50","282.00","286.00","4.00","1.42","6.59","18.83","318.00","139.25","-","-"
"KEC","453.55","461.95","445.00","459.95","6.40","1.41","2.69","12.17","486.00","298.50","50.31","23.01"
"VAKRANGEE","40.25","42.55","39.80","40.10","0.50","1.26","157.13","64.69","69.85","24.50","57.56","1.78"
"THYROCARE","1,269.00","1,289.65","1,260.55","1,278.10","14.50","1.15","1.03","13.15","1,465.00","740.75","62.49","-0.18"
"ROUTE","1,997.70","2,024.90","1,981.10","2,018.50","21.20","1.06","1.30","26.19","2,307.00","687.60","144.89","6.71"
"RALLIS","288.00","296.80","288.00","290.00","2.80","0.97","3.93","11.46","362.60","232.35","1.40","6.27"
"AVANTIFEED","551.80","556.50","551.25","556.00","5.20","0.94","0.97","5.41","674.85","410.00","13.49","3.20"
"GRANULES","323.50","329.50","322.25","323.85","2.05","0.64","12.58","40.98","437.95","295.00","-10.83","-3.02"
"RITES","275.00","278.35","273.60","276.10","1.35","0.49","1.04","2.87","303.00","232.20","12.81","7.66"
"CAMS","3,442.25","3,464.40","3,413.25","3,420.20","14.85","0.44","0.86","29.41","4,067.40","1,260.00","-","-"
"SPARC","291.00","292.95","289.00","290.90","0.80","0.28","2.58","7.49","312.00","141.00","71.42","2.81"
"ALKYLAMINE","3,930.00","3,952.00","3,900.75","3,929.40","10.65","0.27","0.41","16.19","4,749.00","1,138.00","29.11","-0.68"
"BIRLACORPN","1,310.00","1,316.00","1,293.80","1,305.00","0.75","0.06","0.49","6.46","1,585.00","599.10","105.46","1.24"
"HAPPSTMNDS","1,475.00","1,475.00","1,430.50","1,432.00","-0.40","-0.03","1.65","24.06","1,580.00","307.00","-","-"
"GMMPFAUDLR","4,510.00","4,538.00","4,463.25","4,497.20","-3.80","-0.08","0.12","5.52","5,435.00","3,335.20","6.71","7.01"
